Sample Id,location,sampling_date_JD,rundate,evaporated(no = 0/ yes = 1) ,bad_filters (no = 0/yes =1),storage_time_days,Li7(LR),Li7(LR)_SD,B11(LR),B11(LR)_SD,Ca43(LR),Ca43(LR)_SD,Rb85(LR),Rb85(LR)_SD,Sr88(LR),Sr88(LR)_SD,In115(LR),In115(LR)_SD,Na23(MR),Na23(MR)_SD,Mg25(MR),Mg25(MR)_SD,Al27(MR),Al27(MR)_SD,Si28(MR),Si28(MR)_SD,P31(MR),P31(MR)_SD,Ca44(MR),Ca44(MR)_SD,Mn55(MR),Mn55(MR)_SD,Fe56(MR),Fe56(MR)_SD,Fe57(MR),Fe57(MR)_SD,Co59(MR),Co59(MR)_SD,Ni60(MR),Ni60(MR)_SD,Cu63(MR),Cu63(MR)_SD,Cu65(MR),Cu65(MR)_SD,Zn64(MR),Zn64(MR)_SD,Zn66(MR),Zn66(MR)_SD,Rb85(MR),Rb85(MR)_SD,Sr88(MR),Sr88(MR)_SD,Mo98(MR),Mo98(MR)_SD,In115(MR),In115(MR)_SD,Ba138(MR),Ba138(MR)_SD,K39(HR),K39(HR)_SD,In115(HR),In115(HR)_SD
613,1,588.6166667,20100216,0,0,188.3833333,804.70,9.90,2832.60,19.60,584058.20,12004.20,6.70,0.10,13794.90,540.80,22.30,3.80,379036.20,10288.50,309900.80,4934.00,149.70,3.70,-9999.00,-9999.00,140.90,8.90,575895.00,16847.30,1.50,0.00,43.40,1.70,42.40,2.30,0.00,0.10,0.00,0.00,0.10,1.20,0.20,0.50,174.20,3.00,141.30,18.60,0.00,0.00,12644.40,1704.60,0.00,0.00,28.30,10.80,1672.60,4.90,24531.00,539.40,36.80,5.60
654,1,612.4791667,20100216,0,0,164.5208333,791.90,89.60,2887.70,60.40,1760835.50,51232.90,8.30,0.10,16917.90,447.80,-10.80,8.20,430537.50,6785.80,340616.80,12757.90,82.10,15.50,-9999.00,-9999.00,698.50,0.30,1791033.70,54950.50,6453.90,1.40,83.10,15.10,73.30,0.10,0.60,0.10,0.00,0.00,23.30,3.20,19.30,2.10,200.80,19.30,200.10,4.10,0.00,0.00,15849.40,1801.90,0.00,0.00,-46.50,81.20,2117.90,172.60,42444.80,3349.70,-9.30,5.70
660,1,612.8131944,20100216,0,0,164.1868056,769.30,36.40,2756.50,237.20,1409585.60,104128.90,8.00,0.50,17129.50,847.60,-28.00,1.90,430002.70,10685.60,344220.00,11237.30,11.40,1.20,-9999.00,-9999.00,103.70,12.50,1374669.20,20812.70,85.40,0.10,7.40,1.40,11.30,0.30,0.10,0.10,0.00,0.00,0.20,0.80,0.40,1.10,36.40,4.70,37.20,4.10,0.00,0.00,15694.70,1663.10,0.00,0.00,-8.50,77.10,2015.70,13.10,28794.50,1720.60,-11.40,11.00
661,1,613.5847222,20100216,0,0,163.4152778,687.40,12.50,2727.80,49.10,826927.50,22258.20,7.20,0.40,12554.30,122.10,-20.50,3.50,411873.90,346.40,337509.90,16959.00,14.90,7.30,-9999.00,-9999.00,59.10,13.60,842689.50,11473.40,3.40,0.60,5.90,0.30,2.80,2.50,0.00,0.00,0.00,0.00,-4.40,1.00,-3.20,0.80,287.80,19.70,292.20,11.00,0.00,0.00,14936.70,419.20,0.00,0.00,-8.50,40.30,1871.70,146.30,25013.70,204.90,4.40,1.80
662,1,614.5854167,20100216,0,0,162.4145833,742.80,17.10,3064.00,43.30,691618.30,9844.70,9.30,0.20,15760.10,153.30,-19.20,8.90,404202.20,29628.50,320962.20,34993.30,5.00,2.40,-9999.00,-9999.00,21.40,6.50,606340.60,20918.30,-0.30,0.10,-2.50,0.50,-3.00,4.30,0.00,0.10,0.00,0.00,-1.90,0.60,-1.70,1.60,77.20,0.30,72.30,1.00,0.00,0.00,13370.90,620.30,0.00,0.00,-8.40,30.10,1773.70,163.60,28595.00,334.00,1.70,2.50
663,1,615.5854167,20100216,0,0,161.4145833,748.80,11.50,3078.80,50.10,706310.60,10282.40,7.70,0.20,14069.40,282.30,-18.00,13.10,432019.20,7944.80,336810.80,15389.40,8.60,0.80,-9999.00,-9999.00,59.60,9.20,651932.00,12273.40,2.20,1.20,23.20,1.50,16.20,3.70,0.20,0.00,0.00,0.00,0.50,1.20,0.20,0.10,66.20,2.10,61.70,6.40,0.00,0.00,14049.30,665.80,0.00,0.00,-8.40,66.80,1875.80,110.40,26494.90,40.60,6.90,6.90
664,1,616.5854167,20100216,0,0,160.4145833,831.00,11.60,2842.50,54.00,654506.70,28179.20,7.20,0.30,14891.00,819.20,3.50,2.50,399038.60,9710.40,336601.80,6239.70,3.20,2.60,-9999.00,-9999.00,25.60,4.10,628540.60,8939.90,0.30,0.20,0.10,0.70,-2.20,0.10,-0.10,0.10,0.00,0.00,-0.80,0.10,-1.10,0.10,40.80,4.80,39.60,5.90,0.00,0.00,13377.80,206.20,0.00,0.00,-8.40,21.70,1778.20,53.00,29650.60,889.60,3.80,31.80
665,1,617.5854167,20100216,0,0,159.4145833,841.50,16.00,3211.70,64.90,725405.00,8479.20,8.50,0.30,16588.60,123.90,-15.50,2.40,468517.90,19386.20,365796.00,330.40,10.10,1.80,-9999.00,-9999.00,1526.40,68.40,698481.80,19237.90,13.40,0.30,407.10,9.10,403.50,0.60,1.70,0.10,0.20,0.00,8.90,0.30,7.70,0.20,596.90,13.20,592.20,16.00,0.00,0.00,15903.50,472.30,0.00,0.00,-8.40,11.40,2046.00,30.00,31415.60,41.10,21.20,3.60
666,1,618.5854167,20100216,0,0,158.4145833,789.80,21.30,2814.40,48.20,634878.10,8019.70,7.30,0.10,13814.20,824.40,6.40,4.20,403159.70,2268.90,334044.90,627.70,-5.40,2.30,-9999.00,-9999.00,26.50,2.40,629433.30,11687.90,1.10,0.10,-4.70,0.20,-6.30,0.20,0.00,0.00,0.00,0.00,-2.00,1.10,-1.80,0.30,121.50,2.50,114.40,6.50,0.00,0.00,13562.70,785.30,0.00,0.00,-8.40,27.20,1820.60,158.00,28484.90,627.30,-3.50,4.20
667,1,619.5854167,20100216,0,0,157.4145833,776.10,14.50,2745.20,96.00,741285.80,22550.60,7.20,0.40,14273.90,936.20,-13.00,6.10,412942.50,10052.20,328524.20,20306.50,79.50,1.70,-9999.00,-9999.00,555.50,16.10,759763.80,15924.20,2.70,0.60,-2.20,0.30,-3.40,2.10,0.10,0.10,0.00,0.00,-1.20,0.10,-2.20,0.00,144.00,4.50,141.70,4.20,0.00,0.00,14655.60,578.40,0.00,0.00,-8.40,24.50,1862.50,161.40,27013.40,1168.00,1.60,9.30
668,1,620.5854167,20100216,0,0,156.4145833,725.10,23.80,2868.30,64.00,921535.40,32672.20,8.10,0.20,14448.30,671.40,-11.70,5.70,394449.80,14778.40,324682.80,18325.10,-4.80,2.00,-9999.00,-9999.00,52.60,5.80,896927.40,2316.20,3.40,0.10,-3.50,0.80,-6.90,1.00,0.00,0.10,0.00,0.10,-2.20,0.70,-1.40,0.80,177.20,0.80,181.30,4.80,0.00,0.00,14004.00,75.40,0.00,0.00,-8.40,7.00,1908.50,9.60,27239.90,1020.80,8.50,11.80
669,1,621.5854167,20100216,0,0,155.4145833,753.10,8.00,2623.50,52.40,1447028.80,39744.70,7.30,0.60,14610.10,1114.80,-10.50,3.30,400984.00,1.30,327415.10,8697.30,3.10,0.80,-9999.00,-9999.00,9651.30,9.30,1556153.50,21103.40,16.40,0.50,17.10,1.80,14.20,0.60,0.40,0.10,0.10,0.10,5.50,0.80,5.50,1.50,161.70,0.10,163.50,1.60,0.00,0.00,15167.90,69.50,0.00,0.00,-8.40,17.70,1730.70,52.70,30293.40,867.10,-14.30,8.60
670,1,622.5854167,20100216,0,0,154.4145833,762.30,4.70,2959.20,68.40,923321.70,16497.80,8.00,0.00,14833.90,252.70,-9.20,9.20,396280.70,614.50,327183.40,6902.80,9.60,0.30,-9999.00,-9999.00,652.30,1.30,868601.00,7457.00,4.30,0.20,-1.40,1.00,-5.00,1.30,0.00,0.00,0.00,0.10,-1.50,0.40,-2.40,0.20,169.60,7.90,153.10,2.00,0.00,0.00,14254.40,188.40,0.00,0.00,-8.40,15.10,1579.00,462.10,26116.10,2355.80,-15.40,22.70
671,1,623.5854167,20100216,0,0,153.4145833,768.20,17.70,2887.40,50.00,645502.10,13655.80,7.00,0.30,13380.50,717.40,-8.00,13.60,399991.70,1870.70,321111.00,14661.20,18.10,6.40,-9999.00,-9999.00,130.40,4.60,624965.00,2961.60,1.00,0.10,-7.50,0.70,-8.10,0.20,0.00,0.10,0.00,0.00,-2.90,0.20,-1.50,1.00,138.00,6.50,132.80,1.70,0.00,0.00,13494.60,254.70,0.00,0.00,-8.40,23.70,1723.90,4.60,26051.90,579.50,-1.60,14.40
672,1,624.5854167,20100216,0,0,152.4145833,766.60,6.10,2929.50,58.70,825511.30,7234.20,6.90,0.10,14007.60,424.80,-6.70,12.80,400748.50,7833.80,333711.20,12330.00,43.80,2.90,-9999.00,-9999.00,80.40,5.90,781258.70,19696.30,1.30,0.10,19.20,0.30,15.40,1.20,-0.10,0.00,0.00,0.00,-1.40,0.50,-1.70,0.60,192.90,0.70,188.60,3.30,0.00,0.00,14188.50,82.90,0.00,0.00,-8.40,20.70,1791.50,3.40,25656.20,893.50,3.10,2.70
673,1,625.5854167,20100216,0,0,151.4145833,753.20,31.60,2709.70,37.10,936748.80,13292.30,6.10,0.00,13442.80,761.00,-5.50,3.80,398245.20,8029.80,329373.20,3485.20,5.50,0.30,-9999.00,-9999.00,36.20,1.80,1045534.40,15534.40,3.60,0.00,-2.30,2.00,-2.90,3.30,0.00,0.00,0.10,0.10,-2.00,0.00,-2.50,0.50,241.70,0.60,234.90,3.60,0.00,0.00,14835.50,732.40,0.00,0.00,-8.40,26.60,1878.20,69.50,26260.50,248.40,-22.50,12.20
674,1,626.5861111,20100216,0,0,150.4138889,808.30,15.10,3281.50,47.00,690063.20,5670.90,11.20,0.00,14243.40,317.50,-4.20,11.70,417902.90,9826.60,337456.50,5623.00,286.30,12.80,-9999.00,-9999.00,87.10,0.50,655923.10,19661.40,21.80,0.00,141.60,7.50,128.10,7.00,0.20,0.10,0.00,0.00,29.70,0.20,32.00,1.10,327.70,7.70,313.00,15.00,0.00,0.00,14306.10,189.00,0.00,0.00,-8.40,31.80,1783.60,61.40,37724.80,2494.90,4.00,10.50
682,1,634.5868056,20100216,0,0,142.4131944,799.30,11.10,2730.10,16.20,613915.20,102944.50,6.30,0.10,12682.70,619.70,-1.70,4.20,393874.40,5139.70,321182.10,2839.50,36.70,2.30,-9999.00,-9999.00,55.30,3.80,737358.70,2447.60,2.70,0.10,7.20,2.00,6.40,1.80,0.00,0.00,0.00,0.00,1.00,0.20,0.70,0.70,301.40,7.30,303.30,13.00,0.00,0.00,13670.10,299.40,0.00,0.00,-8.40,41.30,1772.80,64.30,25702.60,1188.50,-6.00,11.30
707,1,640.5034722,20100216,0,0,136.4965278,858.50,15.50,3042.40,96.10,1661933.50,41071.80,7.60,0.30,16372.00,373.90,-1.70,1.30,404164.00,462.70,342223.90,1330.40,22.00,1.80,-9999.00,-9999.00,532.40,2.50,1708376.90,8645.20,680.40,4.30,12.30,0.10,12.10,1.10,0.00,0.00,0.00,0.00,2.50,0.40,3.40,0.20,236.60,7.80,241.00,1.40,0.00,0.00,15605.60,290.70,0.00,0.00,-8.40,16.10,2060.60,175.70,74821.90,4207.00,-0.20,10.20
790,1,666.5541667,20100216,0,0,110.4458333,1035.00,29.10,3193.70,67.70,1312695.90,22524.40,19.50,0.30,14598.70,447.70,-1.70,15.70,397183.70,272.30,363025.00,18270.10,28751.30,228.00,-9999.00,-9999.00,1082.70,7.90,1238869.60,16299.40,8012.50,123.60,27272.70,505.40,27878.20,128.60,19.10,1.40,0.20,0.00,45.30,0.30,45.20,1.20,222.10,3.30,223.00,3.10,0.00,0.00,14006.90,180.80,0.00,0.00,-8.40,3.10,1888.80,36.10,44070.00,2337.80,4.70,14.80
791,1,667.5541667,20100216,0,0,109.4458333,920.70,10.00,3131.40,58.80,1483882.20,28248.00,10.40,0.20,15171.20,533.80,-1.70,8.80,407552.50,1514.20,337720.20,12867.70,175.10,31.30,-9999.00,-9999.00,220.40,2.30,1444821.20,23714.30,10215.50,215.10,39.80,2.40,37.50,3.80,7.70,0.20,0.10,0.00,7.60,0.80,7.00,1.50,177.80,7.80,183.80,11.00,0.00,0.00,15170.30,378.30,0.00,0.00,-8.40,22.40,2002.50,68.80,36140.10,373.20,-3.70,1.00
792,1,668.5541667,20100216,0,0,108.4458333,819.70,4.30,2767.90,21.90,1452043.20,31037.50,8.90,0.30,14080.70,814.30,-1.70,2.50,353957.50,51318.40,335455.00,10119.60,33.90,9.30,-9999.00,-9999.00,158.50,1.70,1616477.30,44522.60,24348.00,153.30,16.60,2.70,17.40,1.60,12.30,0.60,0.10,0.00,1.60,2.20,2.50,0.60,186.60,16.40,192.10,13.40,0.00,0.00,13575.90,2395.30,0.00,0.00,-8.40,19.00,1968.10,37.10,33551.70,1087.20,-5.90,6.10
793,1,669.5541667,20100216,0,0,107.4458333,820.00,5.80,2975.00,7.90,1395676.00,98354.50,8.90,0.20,13743.80,229.50,-1.70,10.00,401730.10,9870.70,348271.90,8193.90,30.40,3.80,-9999.00,-9999.00,89.80,2.80,1493483.80,4323.50,14825.00,507.90,-0.10,1.70,2.80,1.60,10.10,0.60,0.10,0.00,1.00,0.20,0.20,0.80,95.70,0.10,97.90,5.80,0.00,0.00,14850.10,25.90,0.00,0.00,-8.40,31.50,1973.00,149.70,29154.20,339.80,-10.70,10.70
794,1,670.5541667,20100216,0,0,106.4458333,815.50,20.00,2740.00,33.60,1399110.70,17162.10,8.30,0.20,13517.50,133.90,-1.70,7.10,403887.50,11120.40,346253.10,6512.80,48.40,0.70,-9999.00,-9999.00,61.20,5.70,1564928.50,21038.00,15047.30,514.20,5.00,0.50,7.30,1.50,9.60,0.20,0.00,0.00,1.70,0.70,0.40,0.70,104.70,5.90,108.90,2.70,0.00,0.00,15021.60,542.00,0.00,0.00,-8.40,22.90,1706.30,493.70,28783.40,411.90,-10.90,8.60
795,1,671.5541667,20100216,0,0,105.4458333,860.50,2.90,3084.60,73.20,1386726.70,19466.80,8.30,0.20,14987.60,279.90,-1.70,3.80,403443.70,13040.60,330736.30,11403.00,20.90,2.80,-9999.00,-9999.00,136.30,3.50,1516949.10,6514.90,12897.30,149.30,2.30,0.20,4.10,0.70,7.60,0.10,0.00,0.00,2.80,0.10,2.00,0.10,79.10,0.30,78.30,1.30,0.00,0.00,15597.00,225.60,0.00,0.00,-8.40,14.10,1937.00,117.80,27187.30,640.50,-7.10,0.90
796,1,672.5541667,20100216,0,0,104.4458333,774.00,8.00,2984.60,12.60,1428881.90,8746.90,8.70,0.10,14819.50,105.30,-20.00,7.40,406183.90,16653.20,337807.30,15748.00,53.10,0.40,-9999.00,-9999.00,54.40,1.00,1516052.00,12882.50,12082.50,352.90,17.60,3.30,20.50,5.60,6.20,0.70,0.00,0.00,-2.00,0.30,-2.90,0.60,67.30,4.60,65.20,6.80,0.00,0.00,12272.90,2799.90,0.00,0.00,-8.40,53.20,1949.60,104.60,25888.50,2052.10,-9.10,17.80
797,1,673.5541667,20100216,0,0,103.4458333,854.60,8.70,3256.80,28.20,1395151.50,6246.40,9.90,0.10,15381.80,184.40,-1.70,10.90,406843.80,5656.20,328979.30,4584.20,112.30,2.80,-9999.00,-9999.00,21.10,4.10,1353658.50,2446.80,7483.70,115.10,6.00,0.20,11.00,2.00,6.40,0.40,0.00,0.00,-0.20,0.50,-0.40,0.30,41.90,1.90,43.10,2.80,0.00,0.00,15861.60,131.70,0.00,0.00,-8.40,29.00,2677.80,5.80,29402.10,1784.50,-1.60,25.00
798,1,674.5541667,20100216,0,0,102.4458333,884.10,6.20,2965.10,51.70,1357513.70,36868.10,8.00,0.60,15027.10,378.60,-1.70,5.50,398983.00,5553.20,327347.30,1403.70,32.20,1.60,-9999.00,-9999.00,9.00,2.40,1410445.80,22166.70,8367.60,21.90,-36.70,1.50,-34.40,0.20,5.80,0.10,0.00,0.00,-1.60,0.80,-1.80,0.30,32.40,1.70,24.50,1.00,0.00,0.00,15032.70,490.50,0.00,0.00,-8.40,9.30,2279.90,5.50,29259.60,2280.70,-4.00,8.60
799,1,675.5541667,20100216,0,0,101.4458333,842.30,2.20,2783.00,49.70,1244407.70,11372.20,7.60,0.20,13803.00,139.80,-1.70,7.20,393770.50,5014.00,332585.40,15359.20,19.70,0.70,-9999.00,-9999.00,31.30,4.30,1385484.60,18144.20,7272.30,182.50,-23.80,0.80,-25.70,1.50,3.90,0.10,0.00,0.00,-2.30,0.80,-2.60,0.80,85.50,0.30,83.70,1.00,0.00,0.00,14053.70,84.60,0.00,0.00,-8.40,6.50,1999.70,18.90,27384.30,1810.70,-1.70,20.20
800,1,676.5541667,20100216,0,0,100.4458333,835.20,33.60,2927.00,37.90,1248621.40,16591.70,8.20,0.10,14174.80,141.60,-1.70,6.10,404343.90,5411.60,344357.00,2823.70,-3.40,4.40,-9999.00,-9999.00,24.20,8.90,1406604.00,25698.60,5881.80,117.60,-35.50,2.00,-32.20,2.70,3.80,0.30,0.00,0.00,-2.10,0.50,-2.80,0.40,53.80,0.10,53.90,0.10,0.00,0.00,14041.40,1683.70,0.00,0.00,-8.40,6.50,1929.70,6.80,28798.00,871.00,3.50,8.10
801,1,677.5541667,20100216,0,0,99.44583333,856.20,6.30,2964.10,46.80,1471165.40,35281.20,8.50,0.50,13807.40,198.70,-1.70,3.20,411164.70,599.20,356940.00,3717.30,-38.00,2.60,-9999.00,-9999.00,23.80,4.20,1624981.30,18285.40,11908.10,48.10,-44.20,0.00,-42.70,1.40,4.50,0.30,0.00,0.00,-3.60,0.30,-4.20,2.00,0.50,4.80,-5.30,5.80,0.00,0.00,16350.00,426.60,0.00,0.00,-8.40,10.00,1946.20,21.20,29378.60,1616.90,-10.30,9.70
802,1,678.5541667,20100216,0,0,98.44583333,813.50,19.00,3212.20,12.50,1484668.40,14637.40,9.10,0.20,15178.90,234.70,-18.20,4.40,416379.80,2124.20,347765.30,22744.30,-37.00,1.00,-9999.00,-9999.00,16.90,2.40,1598153.20,4904.40,11720.00,151.40,-36.80,2.20,-36.20,4.30,4.10,0.50,0.00,0.00,-3.60,0.10,-5.10,0.40,17.30,4.00,8.90,6.30,0.00,0.00,15753.30,413.10,0.00,0.00,-8.40,3.50,1997.70,109.50,29598.70,814.20,-2.50,9.50
803,1,679.5541667,20100216,0,0,97.44583333,827.70,5.70,3141.10,21.30,1474026.90,19425.60,8.90,0.00,14219.30,201.30,-1.70,8.00,392662.10,3255.40,344351.90,3717.50,-54.90,1.50,-9999.00,-9999.00,5.00,0.60,1467063.90,36050.50,9435.00,13.60,-48.60,1.20,-46.10,1.50,3.60,0.70,0.00,0.00,-5.70,0.50,-5.90,0.60,26.60,2.70,23.60,4.30,0.00,0.00,14419.60,867.50,0.00,0.00,-8.40,11.60,1918.30,3.80,27529.20,546.50,-17.50,0.80
804,1,680.5541667,20100216,0,0,96.44583333,847.60,4.90,3263.40,53.10,1560646.50,26681.80,8.70,0.20,14562.40,645.30,-1.70,4.00,385082.10,4277.10,335638.40,1153.20,-90.20,0.00,-9999.00,-9999.00,-9.70,9.00,1473400.50,4792.00,10082.60,18.50,-53.10,0.60,-46.50,0.70,2.50,0.00,0.00,0.00,-7.70,0.50,-9.10,1.20,-33.30,1.70,-36.60,2.10,0.00,0.00,14000.80,428.60,0.00,0.00,-8.40,2.10,1654.20,385.00,26621.10,1206.40,-0.60,22.00
805,1,681.5541667,20100216,0,0,95.44583333,826.00,24.00,2889.90,49.10,1508982.00,29312.10,7.60,0.10,14841.20,294.60,-1.70,7.80,413380.60,5722.00,342013.70,645.70,-100.70,1.50,-9999.00,-9999.00,7.80,3.90,1605877.00,57944.50,13024.30,84.90,-60.40,2.30,-55.70,4.50,2.10,0.30,-0.10,0.00,-7.80,1.10,-9.50,0.20,-42.70,3.20,-49.00,2.80,0.00,0.00,15696.30,10.10,0.00,0.00,-8.40,3.70,2103.80,39.10,25471.00,2478.80,-4.20,16.10
806,1,682.5541667,20100216,0,0,94.44583333,837.90,8.50,3255.60,19.20,1579439.80,19161.40,8.50,0.10,15360.40,472.40,-1.70,4.60,390276.00,7173.90,326139.70,23034.80,-94.30,3.20,-9999.00,-9999.00,-6.70,2.90,1515681.00,12761.60,9425.50,16.10,-71.10,1.10,-68.10,0.20,1.60,0.10,0.00,0.00,-5.90,2.10,-8.40,0.90,-33.50,2.70,-45.70,9.20,0.00,0.00,14957.80,224.70,0.00,0.00,-8.40,32.30,1835.30,45.70,24706.10,3163.50,-15.00,13.60
807,1,683.5541667,20100216,0,0,93.44583333,851.30,16.20,3190.90,16.50,1602245.00,19710.30,8.00,0.30,15425.20,659.40,-1.70,6.40,390952.70,8123.80,322132.50,6435.00,-84.10,0.40,-9999.00,-9999.00,75.50,7.40,1505890.20,2456.70,8846.30,148.00,-63.00,1.40,-63.50,0.10,1.40,0.20,0.00,0.00,-5.60,0.40,-6.50,0.30,-12.90,4.90,-22.00,6.00,0.00,0.00,15129.20,742.40,0.00,0.00,-8.40,36.80,1954.70,48.10,24530.70,1095.60,1.30,2.10
808,1,684.5541667,20100216,0,0,92.44583333,817.70,3.10,3034.90,12.80,1482338.40,43023.80,7.90,0.10,14145.70,371.20,-1.70,4.20,400435.40,9797.80,340324.00,639.50,-73.50,2.20,-9999.00,-9999.00,14.80,5.10,1498180.90,33275.80,8933.30,61.00,-75.20,3.70,-70.20,1.00,1.10,0.10,-0.10,0.00,-9.70,0.40,-12.10,0.40,-106.90,5.40,-107.60,3.90,0.00,0.00,14968.00,1025.20,0.00,0.00,-8.40,4.00,1933.40,26.80,24859.30,1292.70,-14.30,4.80
809,1,685.5541667,20100216,0,0,91.44583333,884.30,6.40,3019.40,48.20,1503890.50,35064.40,7.80,0.10,16136.30,26.70,-1.70,6.10,398698.00,10811.70,331195.30,17396.80,-111.00,3.60,-9999.00,-9999.00,-29.00,1.20,1576389.00,6879.60,9186.80,1247.50,-92.30,0.30,-90.70,4.60,1.60,0.10,-0.10,0.00,-11.80,0.00,-13.20,0.60,-113.30,3.60,-109.60,3.00,0.00,0.00,15426.40,504.40,0.00,0.00,-8.40,19.80,1858.30,89.70,23978.20,389.60,7.40,16.40
811,1,687.5548611,20100216,0,0,89.44513889,874.50,16.80,3230.30,45.10,1502693.20,42587.30,8.30,0.40,14774.40,616.10,-1.70,5.60,398771.10,548.80,351023.40,2835.00,-29.80,4.20,-9999.00,-9999.00,23.90,1.20,1480949.00,15821.50,7086.20,63.30,-179.90,1.00,-175.80,2.00,0.80,0.10,-0.10,0.00,-10.90,1.40,-11.90,0.40,-94.40,0.80,-112.30,0.90,0.00,0.00,13930.20,16.20,0.00,0.00,-8.40,19.90,1939.60,7.80,25962.70,1963.60,5.80,13.20
812,1,688.5548611,20100216,0,0,88.44513889,856.80,2.50,2842.30,54.40,1398109.00,26593.80,8.00,0.10,13327.60,159.30,-1.70,4.70,400857.40,4214.30,355593.50,6377.20,-106.80,0.90,-9999.00,-9999.00,16.40,3.40,1476295.90,29098.00,6380.10,141.00,-203.80,0.40,-199.60,0.70,0.80,0.10,-0.10,0.00,-10.60,0.40,-11.10,0.00,-77.50,2.20,-84.50,8.70,0.00,0.00,14499.40,377.80,0.00,0.00,-8.40,1.20,1905.50,66.00,27489.80,877.40,10.10,0.90
849,10,692.7208333,20100216,0,0,84.27916667,830.60,9.60,2864.90,42.60,1176674.90,17075.60,10.40,0.30,13389.20,874.00,-1.70,2.90,378939.90,9795.90,331127.20,11969.30,-15.10,0.50,-9999.00,-9999.00,-12.90,15.70,1168865.10,8217.50,5403.00,28.90,-11.00,2.30,-22.50,2.50,4.70,0.00,0.10,0.00,-1.60,0.30,-3.10,0.50,96.00,3.70,106.30,12.70,0.00,0.00,13085.40,23.10,0.00,0.00,-8.40,12.70,1767.80,74.60,24966.80,1037.10,-10.10,10.10
855,1,695.5006944,20100216,0,0,81.49930556,824.40,4.90,2478.70,7.60,682188.40,9716.50,9.80,0.20,12223.50,211.90,-1.70,7.20,394250.90,2779.60,342319.40,10531.30,12.30,4.30,-9999.00,-9999.00,78.50,1.50,742491.00,2516.90,-0.90,0.50,-142.30,0.80,-142.30,4.20,-1.00,0.10,-0.20,0.00,-9.00,0.10,-10.60,0.20,-75.20,2.40,-73.30,4.60,0.00,0.00,13519.50,13.00,0.00,0.00,-8.40,11.30,1298.10,316.90,27623.90,415.90,2.30,19.60
856,1,696.5006944,20100216,0,0,80.49930556,831.00,8.50,3211.10,80.00,797770.00,7016.10,10.00,0.30,12537.70,47.20,-1.70,5.60,389611.90,5145.40,341807.40,10793.90,667.10,7.50,-9999.00,-9999.00,48.00,5.70,883099.70,1475.10,574.50,2.20,-143.00,1.60,-149.10,2.90,1.10,0.10,-0.20,0.00,-5.70,0.30,-9.30,0.30,-63.20,1.30,-57.70,8.30,0.00,0.00,14727.90,60.90,0.00,0.00,-8.40,19.40,1640.00,32.00,27134.00,2075.50,-2.70,19.50
857,1,697.5006944,20100216,0,0,79.49930556,835.40,8.40,2828.10,81.40,720717.10,3239.70,11.10,0.10,13532.00,47.30,-1.70,5.60,380525.00,6042.30,330271.40,1849.90,-88.70,0.00,-9999.00,-9999.00,18.00,2.80,664779.70,9105.80,-13.90,0.10,-279.00,2.20,-277.30,0.90,-1.10,0.10,-0.20,0.00,-8.80,1.50,-10.40,0.80,-40.30,2.40,-45.60,7.80,0.00,0.00,12761.70,125.20,0.00,0.00,-8.40,43.20,1546.60,6.40,26196.10,1497.20,-10.70,5.20
858,1,698.5006944,20100216,0,0,78.49930556,859.80,4.50,2811.30,33.50,882109.30,6819.10,10.00,0.10,13067.30,213.20,-1.70,9.10,405168.20,3096.40,348171.60,5167.70,488.80,6.30,-9999.00,-9999.00,106.60,9.80,950221.40,28386.50,1362.90,1.70,-243.70,1.10,-241.50,2.10,1.80,0.10,-0.20,0.00,-7.10,1.10,-8.40,0.80,-7.50,8.40,-18.30,3.80,0.00,0.00,14169.80,838.90,0.00,0.00,-8.40,41.80,1698.50,80.30,26882.10,606.40,-7.50,2.40
859,1,699.5006944,20100216,0,0,77.49930556,837.70,7.40,2668.20,31.50,657880.80,19218.30,9.60,0.00,12473.70,388.40,-1.70,2.90,386714.00,6356.10,336648.80,10349.20,108.70,1.40,-9999.00,-9999.00,10.20,6.20,712361.20,1272.60,-5.50,0.00,-284.30,0.00,-277.00,5.10,-1.40,0.00,-0.30,0.00,-7.00,1.00,-7.90,0.70,4.70,2.60,5.10,9.90,0.00,0.00,13152.10,182.40,0.00,0.00,-8.40,14.40,1672.70,65.60,26879.80,2444.50,2.70,2.40
860,1,700.5006944,20100216,0,0,76.49930556,902.30,3.70,2952.70,62.00,978520.90,24937.00,11.00,0.20,15097.60,232.70,-1.70,4.60,398944.60,5506.50,344411.90,12128.70,312.80,4.30,-9999.00,-9999.00,38.90,5.90,917003.60,6502.80,937.10,150.40,-263.20,0.80,-264.90,0.50,1.40,0.00,-0.20,0.00,-7.00,0.70,-8.50,0.60,-14.30,0.40,-18.70,4.70,0.00,0.00,14234.20,487.60,0.00,0.00,-8.40,35.70,1730.10,50.40,26067.00,1844.60,-2.00,12.30
