,sample id ,sample id numb,description,description.1,date/time,Bag Label ,Vial Label,Label Color,# of vials,Vial type,Lid type,collected by,received in 395 McCone,notes,Wood/Kim taken,Unnamed: 15,datetime,Sample Id,Li7(LR),Li7(LR)_SD,B11(LR),B11(LR)_SD,Ca43(LR),Ca43(LR)_SD,Rb85(LR),Rb85(LR)_SD,Sr88(LR),Sr88(LR)_SD,In115(LR),In115(LR)_SD,Na23(MR),Na23(MR)_SD,Mg25(MR),Mg25(MR)_SD,Al27(MR),Al27(MR)_SD,Si28(MR),Si28(MR)_SD,P31(MR),P31(MR)_SD,Ca44(MR),Ca44(MR)_SD,Mn55(MR),Mn55(MR)_SD,Fe56(MR),Fe56(MR)_SD,Fe57(MR),Fe57(MR)_SD,Co59(MR),Co59(MR)_SD,Ni60(MR),Ni60(MR)_SD,Cu63(MR),Cu63(MR)_SD,Cu65(MR),Cu65(MR)_SD,Zn64(MR),Zn64(MR)_SD,Zn66(MR),Zn66(MR)_SD,Rb85(MR),Rb85(MR)_SD,Sr88(MR),Sr88(MR)_SD,Mo98(MR),Mo98(MR)_SD,In115(MR),In115(MR)_SD,Ba138(MR),Ba138(MR)_SD,K39(HR),K39(HR)_SD,In115(HR),In115(HR)_SD,Si (ppm),Mg (ppm),Ca (ppm),Na (ppm),K (ppm)
18,24 KR,24,CONGER,2,2008-12-29 15:17:00,,C1-3,,,,,,,,,,2008-12-29 15:17:00,24,4.383590334,0.031151981,521.2170437,11.04150147,6466.873641,46.76702155,3.42848584,0.035228297,19.73713635,0.385399077,1.169646842,2.059761775,31680.1054,222.8326099,4116.171431,71.70439599,548.606253,7.431886999,702.3325625,3.412412084,2428.479919,33.16894852,6277.024266,14.51457738,691.5807025,1.778406761,85.40049648,0.667104101,73.0526229,0.406486826,0.601353285,0.083333835,0.008290502,0.001248059,5194.318795,155.6030695,4885.210254,76.81722649,4885.56417,17.58737485,4784.868699,17.23939172,0.0,0.0,19.5746058,1.094540307,0.0,0.0,7.545642223,2.479822572,43.40788523,0.667857276,19088.85506,39.33504236,2.719672455,0.425501103,0.0197253611841,0.100022965773,0.251583132581,0.728325623146,0.746374232846
20,26 KR,26,CONGER,2,2009-01-02 12:50:00,,C2-3,,,,,,,,,,2009-01-02 12:50:00,26,3.547159951,0.049843169,304.9995622,2.946062997,6247.56404,95.05942149,2.812926478,0.019943754,19.15067314,0.520099501,1.570212013,0.861428499,18132.30032,189.0425814,3506.741686,140.9223286,499.6808086,7.661362371,904.0724673,17.01093105,1974.362028,7.435788561,5863.445506,4.924107884,701.5760082,1.268088976,84.95844866,0.410014459,80.86480395,1.292628106,0.489957936,0.062147267,0.01014501,0.00065,3171.085734,48.05533726,3043.696413,82.62041577,4063.013189,76.34785597,4372.907322,69.09852673,0.0,0.0,18.43528293,0.33056905,0.0,0.0,7.545642223,7.923470191,33.60605521,0.490260424,15602.24867,245.7857157,3.087157647,0.397910974,0.0253913272804,0.0852138229698,0.23500689588,0.416861584357,0.610047922997
23,29 KR,29,CONGER,2,2009-01-05 00:00:00,,C3-3,,,,,,,,,,2009-01-05 00:00:00,29,4.249039226,0.120955622,148.0538459,3.058830959,5374.059611,65.33479125,2.025168845,0.039445393,17.49744732,0.611753723,1.570212013,0.482505594,18208.27201,199.973603,3833.813127,8.116659836,333.2960584,4.551503824,318.1183629,67.82784464,1863.888486,18.99500831,5050.640227,70.7301934,631.6049486,3.885320841,68.66271405,1.320263406,65.21963929,2.182834255,0.839568387,0.098327407,0.020502002,0.000832,1880.613438,34.14319789,1985.217134,28.94606982,4612.457409,76.61150881,4668.175847,116.8576091,0.0,0.0,16.84105344,0.125416901,0.0,0.0,7.545642223,0.647790386,29.9881264,0.570528176,12693.48189,704.035537,3.437503238,1.953994257,0.00893451328123,0.0931616589861,0.202429660298,0.41860817351,0.496315141899
25,31 KR,31,CONGER,2,2009-01-08 12:45:00,,C4-3,,,,,,,,,,2009-01-08 12:45:00,31,10.77583016,0.707687067,653.5461126,17.67095645,15834.57638,23.7243586,5.590070237,0.215922111,47.85740086,3.248055698,1.570212013,2.394561989,31355.73104,399.5230359,9537.073478,178.1727747,1201.589073,34.8866943,6335.053466,188.0178461,4233.96263,48.15396253,15273.6588,592.2432288,1875.760814,55.74353713,294.8308158,2.243521256,285.385654,6.215183568,1.53101049,0.029878494,0.058040163,0.003093074,10154.81849,142.0578632,10191.60388,337.2421227,18545.91026,158.2049365,20440.27924,1080.551353,0.0,0.0,50.52182454,0.211322139,0.0,0.0,7.545642223,0.711649268,74.28438978,3.749224281,38331.79942,2564.552574,2.220367757,4.903379061,0.177923144119,0.231750885515,0.612168244704,0.72086825661,1.49877335732
29,35 KR,35,CONGER,2,2009-02-05 00:00:00,,C6-3,,,,,,,,,,2009-02-05 00:00:00,35,19.23104525,0.633781678,855.0722576,16.01630347,18443.84507,336.7913997,12.99344606,0.324638648,112.4515499,5.386964369,1.570212013,1.341638575,42764.23047,870.90467,18596.13428,1000.99374,1070.467677,5.97217443,8856.496889,178.7179816,15545.18385,143.2254254,17901.46412,560.5904478,2588.552647,29.95854109,232.7137661,8.110537108,235.4767273,8.109412177,0.796505454,0.019122236,0.055057995,0.000466,9693.900986,296.1198473,10432.89664,120.14679,17751.11352,718.2834752,18130.17543,98.99141583,0.0,0.0,113.8562282,1.162805703,0.0,0.0,7.545642223,3.125036519,91.2495955,0.443458108,102303.2339,3115.559345,4.78309836,1.945410661,0.248739143376,0.451886063004,0.71749068193,0.983149658505,4.00005644549
31,37 KR,37,CONGER,2,2009-02-06 00:00:00,,C7-3,,,,,,,,,,2009-02-06 00:00:00,37,4.972911196,0.403686703,330.3145958,12.38965691,12701.76873,155.2376238,4.539044476,0.081660078,25.04161499,0.695227314,1.570212013,2.465170483,20192.15773,116.9518379,4746.295739,37.59458257,690.5247769,13.83435371,2297.193351,5.544696217,4083.266813,23.52114047,13121.79331,25.35146168,939.9872722,10.40465005,118.1737253,3.033040083,119.5966883,0.597535634,0.5306047,0.004237314,0.019583,0.000832,4561.313274,128.9181087,4695.114963,72.70749323,5312.350177,49.26846996,5500.307562,42.81984862,0.0,0.0,26.58405229,0.590934694,0.0,0.0,7.545642223,19.47659089,41.03384675,2.225150261,28735.18745,17.81497461,3.310294349,3.682362569,0.0645178238595,0.115334986458,0.525921475865,0.464217706213,1.1235458293
33,39 KR,39,CONGER,2,2009-02-09 10:15:00,,C8-3,,,,,,,,,,2009-02-09 10:15:00,39,10.84634277,0.391655593,618.0181814,13.99913042,13760.83046,378.280342,10.89687142,0.413338556,60.56326779,2.323320217,1.570212013,0.429460856,33390.17498,12.37082791,14985.99972,278.4342959,1006.406711,20.33193329,6403.15981,179.3599393,15023.40405,453.7419139,13250.20666,365.3380293,3106.670992,63.03868202,168.7923848,1.36527983,165.4148545,2.491764243,1.883112074,0.070730543,0.034320086,0.000131,10209.39864,26.90435024,11033.70983,442.2902346,21027.83081,82.20217054,21741.57814,796.5209799,0.0,0.0,61.33781336,0.326772133,0.0,0.0,7.545642223,8.192340008,68.98456212,2.974671965,97453.00008,2379.488108,4.486418636,0.171978472,0.179835944844,0.364159793196,0.531068282933,0.76764012279,3.81041230313
35,41 KR,41,CONGER,2,2009-02-12 00:00:00,,C9-3,,,,,,,,,,2009-02-12 00:00:00,41,6.664070232,0.288102112,373.0867976,7.49292504,9677.519572,282.4582313,4.431960391,0.078327212,32.65121398,0.236518332,1.570212013,1.846981521,54524.96999,29.97401187,9056.587894,7.775623709,526.613812,3.404542305,2105.359986,704.4074486,3485.826177,87.23297335,9009.406275,102.3483518,1521.19575,20.8725046,126.3609828,3.87057019,129.7673944,2.999872775,0.962684345,0.059974286,0.009470442,0.000131,3880.87379,76.61381711,4254.813048,48.3392913,8359.845651,46.00080351,8425.107604,68.65121409,0.0,0.0,31.05255454,0.350937925,0.0,0.0,7.545642223,0.744958944,48.2502137,1.360033135,28875.59007,178.856603,-0.750640556,0.371240515,0.0591300878868,0.220075085824,0.361097003502,1.25352906007,1.12903557174
37,43 KR,43,CONGER,2,2009-02-14 11:00:00,,C10-3,,,,,,,,,,2009-02-14 11:00:00,43,7.060906172,0.182400219,299.8492841,3.439784265,8289.652387,293.851323,3.391869741,0.106646857,29.58486616,0.067790189,1.570212013,1.246140983,77440.33623,354.8380693,9704.32993,84.60176227,347.128156,0.31545076,1201.909998,13.87120894,2317.452682,31.04200671,7987.159564,101.382765,1044.463322,0.267351118,61.34918215,1.525878965,60.93955463,0.268281305,0.519452871,0.004237314,0.015221393,0.000234,3071.960641,50.06852872,3283.160249,48.51570092,8519.993423,6.458985555,8461.855721,1.388924555,0.0,0.0,28.80334983,0.739489056,0.0,0.0,7.545642223,0.538291727,37.10436756,1.136866327,20287.27507,529.8210517,1.009136223,1.655714305,0.0337562432488,0.235815217299,0.320125355325,1.78035332993,0.793232455237
39,45 KR,45,CONGER,2,2009-02-15 00:00:00,,C11-3,,,,,,,,,,2009-02-15 00:00:00,45,6.783586188,0.161130935,230.0196864,5.235035757,8625.890211,68.54753512,4.178551856,0.037234819,26.56998866,0.585211933,1.570212013,1.125193619,43752.75702,1183.247762,5797.531878,120.385753,439.7391082,1.303752384,1308.086987,68.71219339,2169.802784,23.0560492,8288.776203,151.9087282,983.9235581,8.405320166,54.78177794,0.070285519,53.33326587,1.943007028,0.913653566,0.068557562,0.011412491,0.000493,2251.162191,30.570499,2270.8236,54.61596094,5585.598012,81.62294866,5578.767114,86.4234341,0.0,0.0,26.18441519,1.007606738,0.0,0.0,7.545642223,2.348608212,41.55237197,0.438638209,20042.56461,1332.142407,3.850476719,0.850389091,0.0367382770734,0.140880024635,0.332214150216,1.00587588389,0.783664276251
